chunk_size,run_index,question_id,input_tokens,output_tokens,latency_seconds,correct,failure_label
500,2,q015,932,4,0.85,0,retrieval_failure_honest
500,2,q016,887,31,1.03,0,retrieval_failure_hallucinated
500,2,q017,875,4,0.74,0,retrieval_failure_honest
500,2,q018,882,4,1.01,0,retrieval_failure_honest
500,2,q019,898,25,0.94,1,grounded_correct
500,2,q020,915,20,0.8,0,retrieval_failure_hallucinated
500,2,q021,923,25,1.63,0,generation_failure
500,2,q022,777,27,0.99,1,grounded_correct
500,2,q023,812,31,0.8,0,retrieval_failure_hallucinated
500,2,q024,973,31,1.1,1,grounded_correct
500,2,q025,799,111,1.94,0,retrieval_failure_hallucinated
500,3,q001,839,4,0.91,0,retrieval_failure_honest
500,3,q002,833,4,0.79,0,retrieval_failure_honest
500,3,q003,823,24,0.92,0,generation_failure
500,3,q004,731,47,1.27,0,retrieval_failure_hallucinated
500,3,q005,832,4,0.91,0,retrieval_failure_honest
500,3,q006,824,4,0.71,0,retrieval_failure_honest
500,3,q007,692,12,0.88,0,retrieval_failure_hallucinated
500,3,q008,834,4,0.77,0,retrieval_failure_honest
500,3,q009,812,4,0.74,0,retrieval_failure_honest
500,3,q010,780,37,1.2,0,generation_failure
500,3,q011,891,4,0.83,0,retrieval_failure_honest
500,3,q012,869,4,0.68,0,retrieval_failure_honest
500,3,q013,862,4,1.11,0,retrieval_failure_honest
500,3,q014,890,4,0.81,0,retrieval_failure_honest
500,3,q015,932,4,0.79,0,retrieval_failure_honest
500,3,q016,887,27,1.39,0,retrieval_failure_hallucinated
500,3,q017,875,4,0.68,0,retrieval_failure_honest
500,3,q018,882,4,1.04,0,retrieval_failure_honest
500,3,q019,898,25,1.13,1,grounded_correct
500,3,q020,915,20,0.77,0,retrieval_failure_hallucinated
500,3,q021,923,26,1.38,0,generation_failure
500,3,q022,777,27,1.22,1,grounded_correct
500,3,q023,812,14,0.82,0,retrieval_failure_hallucinated
500,3,q024,973,31,1.17,1,grounded_correct
500,3,q025,799,127,2.15,0,retrieval_failure_hallucinated
600,1,q001,963,4,1.19,0,retrieval_failure_honest
600,1,q002,1013,4,1.02,0,retrieval_failure_honest
600,1,q003,1009,22,1.02,0,generation_failure
600,1,q004,798,4,1.04,0,retrieval_failure_honest
600,1,q005,968,4,0.82,0,retrieval_failure_honest
600,1,q006,975,4,1.14,0,retrieval_failure_honest
600,1,q007,802,14,0.97,1,unsupported_correct
600,1,q008,979,4,0.84,0,retrieval_failure_honest
600,1,q009,1040,4,0.99,0,retrieval_failure_honest
600,1,q010,840,89,1.54,1,grounded_correct
600,1,q011,1119,4,1.04,0,retrieval_failure_honest
600,1,q012,855,4,0.73,0,retrieval_failure_honest
600,1,q013,1022,4,0.88,0,retrieval_failure_honest
600,1,q014,1065,4,0.73,0,retrieval_failure_honest
600,1,q015,1098,4,1.32,0,retrieval_failure_honest
600,1,q016,1098,4,0.79,0,retrieval_failure_honest
600,1,q017,1113,4,0.65,0,retrieval_failure_honest
600,1,q018,1055,4,0.68,0,retrieval_failure_honest
600,1,q019,1150,24,1.01,1,grounded_correct
600,1,q020,1200,4,0.87,0,retrieval_failure_honest
600,1,q021,926,37,1.14,0,retrieval_failure_hallucinated
600,1,q022,844,27,1.0,1,grounded_correct
600,1,q023,846,28,1.07,1,unsupported_correct
600,1,q024,1189,31,1.06,1,grounded_correct
600,1,q025,1000,99,1.4,0,retrieval_failure_hallucinated
600,2,q001,963,4,1.05,0,retrieval_failure_honest
600,2,q002,1013,4,0.9,0,retrieval_failure_honest
600,2,q003,1009,22,0.87,0,generation_failure
600,2,q004,798,4,0.86,0,retrieval_failure_honest
600,2,q005,968,4,0.8,0,retrieval_failure_honest
600,2,q006,975,4,0.77,0,retrieval_failure_honest
600,2,q007,802,14,0.82,1,unsupported_correct
600,2,q008,979,4,0.97,0,retrieval_failure_honest
600,2,q009,1040,4,0.73,0,retrieval_failure_honest
600,2,q010,840,83,1.42,0,generation_failure
600,2,q011,1119,4,0.91,0,retrieval_failure_honest
600,2,q012,855,4,0.75,0,retrieval_failure_honest
600,2,q013,1022,4,0.95,0,retrieval_failure_honest
600,2,q014,1065,4,1.1,0,retrieval_failure_honest
600,2,q015,1098,4,0.83,0,retrieval_failure_honest
600,2,q016,1098,4,0.7,0,retrieval_failure_honest
600,2,q017,1113,4,0.92,0,retrieval_failure_honest
600,2,q018,1055,4,1.93,0,retrieval_failure_honest
600,2,q019,1150,23,1.3,1,grounded_correct
600,2,q020,1200,4,0.97,0,retrieval_failure_honest
600,2,q021,926,37,1.2,0,retrieval_failure_hallucinated
600,2,q022,844,27,1.31,1,grounded_correct
600,2,q023,846,26,0.94,0,retrieval_failure_hallucinated
600,2,q024,1189,36,1.64,1,grounded_correct
600,2,q025,1000,80,1.52,0,retrieval_failure_hallucinated
600,3,q001,963,4,1.28,0,retrieval_failure_honest
600,3,q002,1013,4,0.69,0,retrieval_failure_honest
600,3,q003,1009,25,0.88,0,generation_failure
600,3,q004,798,4,0.59,0,retrieval_failure_honest
600,3,q005,968,4,1.48,0,retrieval_failure_honest
600,3,q006,975,4,0.84,0,retrieval_failure_honest
600,3,q007,802,14,2.24,1,unsupported_correct
600,3,q008,979,4,1.69,0,retrieval_failure_honest
600,3,q009,1040,4,1.84,0,retrieval_failure_honest
600,3,q010,840,81,1.3,0,generation_failure
600,3,q011,1119,4,0.72,0,retrieval_failure_honest
600,3,q012,855,4,0.76,0,retrieval_failure_honest
600,3,q013,1022,4,1.01,0,retrieval_failure_honest
600,3,q014,1065,4,0.83,0,retrieval_failure_honest
600,3,q015,1098,4,0.91,0,retrieval_failure_honest
600,3,q016,1098,4,0.67,0,retrieval_failure_honest
600,3,q017,1113,4,1.05,0,retrieval_failure_honest
600,3,q018,1055,4,1.11,0,retrieval_failure_honest
600,3,q019,1150,24,1.03,1,grounded_correct
600,3,q020,1200,4,0.66,0,retrieval_failure_honest
600,3,q021,926,36,1.15,0,retrieval_failure_hallucinated
600,3,q022,844,27,1.24,1,grounded_correct
600,3,q023,846,32,1.02,1,unsupported_correct
600,3,q024,1189,36,1.19,1,grounded_correct
600,3,q025,1000,89,1.58,0,retrieval_failure_hallucinated
